Total cost: 10242
Unconnected houses: 1
(27, 3), 57.11814462, (None, None), (None, None), 0, False

These houses have been connected:
(7, 37)
(57, 27)
(38, 24)
(39, 16)
(14, 47)
(47, 8)
(34, 47)
(15, 46)
(47, 5)
(44, 35)
(33, 2)
(31, 11)
(27, 44)
(22, 46)
(37, 25)
(20, 10)
(28, 47)
(17, 22)
(57, 33)
(21, 11)
(38, 22)
(2, 24)
(20, 5)
(17, 27)
(57, 22)
(39, 23)
(23, 24)
(30, 15)
(28, 11)
(18, 47)
(40, 11)
(48, 35)
(13, 47)
(27, 38)
(9, 23)
(47, 43)
(36, 25)
(27, 43)
(17, 12)
(19, 12)
(47, 36)
(5, 33)
(43, 12)
(18, 11)
(17, 17)
(57, 28)
(45, 1)
(10, 37)
(57, 17)
(14, 37)
(47, 2)
(13, 37)
(33, 8)
(2, 34)
(47, 46)
(4, 33)
(19, 11)
(34, 49)
(17, 15)
(5, 36)
(44, 1)
(43, 11)
(17, 28)
(57, 31)
(39, 12)
(41, 47)
(17, 33)
(47, 1)
(12, 37)
(33, 6)
(4, 24)
(9, 24)
(33, 11)
(47, 48)
(47, 45)
(30, 47)
(34, 50)
(17, 31)
(57, 26)
(39, 19)
(38, 25)
(33, 47)
(57, 15)
(22, 11)
(47, 4)
(0, 34)
(33, 1)
(15, 24)
(37, 11)
(20, 24)
(20, 11)
(17, 21)
(57, 32)
(38, 23)
(20, 6)
(17, 26)
(57, 21)
(39, 22)
(18, 33)
(17, 47)
(30, 12)
(12, 47)
(44, 33)
(34, 11)
(47, 42)
(27, 42)
(47, 39)
(6, 24)
(20, 8)
(11, 24)
(9, 37)
(17, 16)
(57, 35)
(16, 24)
(17, 37)
(57, 16)
(39, 21)
(23, 11)
(35, 11)
(31, 25)
(46, 35)
(47, 41)
(4, 34)
(27, 41)
(8, 37)
(17, 14)
(6, 37)
(5, 35)
(1, 24)
(25, 11)
(16, 37)
(17, 19)
(57, 30)
(11, 37)
(39, 15)
(13, 24)
(17, 32)
(57, 19)
(39, 24)
(22, 24)
(19, 46)
(18, 24)
(33, 5)
(32, 11)
(33, 10)
(30, 25)
(47, 44)
(32, 47)
(38, 11)
(17, 30)
(57, 25)
(39, 18)
(47, 10)
(17, 35)
(57, 14)
(47, 7)
(33, 0)
(15, 37)
(20, 46)
(36, 11)
###################
This is the network for battery (42, 3).
End capacity: 21.1035283000002
Cable count: 228
--------------------

Cable Coordinates: 
(42, 10)
(22, 44)
(19, 4)
(42, 25)
(42, 20)
(41, 36)
(15, 50)
(3, 7)
(42, 35)
(8, 5)
(38, 37)
(24, 42)
(28, 5)
(15, 47)
(19, 40)
(23, 7)
(5, 5)
(11, 5)
(34, 8)
(24, 27)
(31, 5)
(16, 3)
(42, 15)
(21, 31)
(43, 14)
(42, 26)
(23, 44)
(40, 38)
(16, 44)
(15, 49)
(42, 36)
(24, 39)
(23, 10)
(4, 5)
(44, 39)
(30, 29)
(20, 32)
(26, 37)
(7, 5)
(24, 24)
(27, 22)
(42, 31)
(3, 12)
(24, 36)
(23, 9)
(12, 50)
(53, 4)
(30, 30)
(24, 21)
(38, 5)
(9, 45)
(42, 5)
(30, 32)
(42, 16)
(25, 5)
(31, 37)
(14, 50)
(28, 22)
(3, 11)
(32, 6)
(47, 6)
(19, 44)
(33, 7)
(32, 9)
(42, 11)
(24, 18)
(14, 5)
(37, 6)
(26, 29)
(42, 6)
(18, 5)
(24, 5)
(1, 16)
(42, 21)
(49, 3)
(21, 5)
(27, 5)
(9, 50)
(42, 32)
(8, 6)
(24, 43)
(15, 46)
(19, 43)
(23, 6)
(20, 44)
(29, 7)
(24, 28)
(16, 4)
(42, 12)
(21, 30)
(42, 27)
(22, 29)
(40, 39)
(20, 5)
(21, 11)
(34, 37)
(42, 22)
(15, 48)
(43, 39)
(42, 37)
(23, 5)
(24, 40)
(37, 37)
(29, 29)
(4, 6)
(18, 32)
(15, 45)
(24, 25)
(30, 36)
(29, 36)
(42, 28)
(3, 15)
(50, 3)
(36, 37)
(28, 29)
(24, 37)
(23, 8)
(53, 3)
(35, 8)
(39, 37)
(30, 31)
(13, 50)
(41, 5)
(24, 22)
(43, 6)
(9, 44)
(30, 33)
(42, 17)
(3, 10)
(32, 7)
(29, 22)
(30, 5)
(19, 32)
(3, 16)
(34, 5)
(40, 5)
(42, 8)
(25, 29)
(17, 5)
(24, 19)
(37, 5)
(9, 47)
(42, 7)
(48, 3)
(30, 34)
(44, 6)
(42, 18)
(3, 9)
(43, 27)
(42, 33)
(17, 44)
(24, 44)
(9, 49)
(11, 50)
(19, 42)
(22, 11)
(6, 5)
(29, 6)
(10, 5)
(24, 29)
(16, 5)
(21, 32)
(36, 5)
(42, 13)
(21, 29)
(13, 5)
(19, 5)
(20, 11)
(33, 37)
(42, 24)
(39, 5)
(42, 23)
