Total cost: 10602
Unconnected houses: 0
These houses have been connected:
(11, 34)
(32, 7)
(10, 38)
(29, 22)
(27, 10)
(33, 6)
(20, 40)
(53, 6)
(35, 7)
(28, 13)
(33, 11)
(12, 48)
(30, 24)
(45, 43)
(35, 24)
(38, 7)
(30, 47)
(42, 7)
(10, 44)
(33, 47)
(13, 28)
(47, 4)
(29, 25)
(22, 11)
(0, 34)
(33, 1)
(45, 33)
(24, 29)
(31, 7)
(45, 46)
(25, 24)
(21, 29)
(29, 32)
(37, 24)
(15, 6)
(6, 34)
(26, 10)
(13, 31)
(9, 12)
(13, 33)
(29, 28)
(29, 9)
(20, 34)
(45, 36)
(24, 26)
(22, 37)
(21, 35)
(17, 3)
(15, 8)
(30, 37)
(29, 35)
(15, 5)
(10, 34)
(29, 18)
(18, 34)
(5, 12)
(29, 31)
(10, 12)
(29, 12)
(45, 39)
(21, 38)
(4, 34)
(24, 10)
(35, 47)
(43, 10)
(10, 40)
(14, 48)
(27, 24)
(10, 39)
(32, 24)
(23, 29)
(29, 21)
(27, 13)
(43, 32)
(33, 5)
(32, 11)
(53, 5)
(6, 12)
(29, 15)
(11, 12)
(45, 42)
(41, 7)
(16, 12)
(18, 3)
(8, 34)
(32, 47)
(48, 4)
(10, 45)
(43, 9)
(16, 34)
(29, 24)
(34, 24)
(33, 0)
(32, 8)
(30, 7)
(45, 32)
###################
This is the network for battery (42, 3).
End capacity: 7.156397209999945
Cable count: 251
--------------------

Cable Coordinates: 
(40, 3)
(6, 9)
(42, 10)
(16, 9)
(22, 44)
(42, 25)
(32, 44)
(31, 44)
(25, 12)
(29, 44)
(48, 1)
(42, 20)
(41, 36)
(25, 1)
(27, 2)
(42, 35)
(33, 30)
(24, 42)
(29, 27)
(28, 5)
(3, 24)
(33, 3)
(24, 27)
(5, 18)
(42, 15)
(18, 9)
(42, 26)
(23, 44)
(24, 1)
(21, 12)
(26, 12)
(42, 41)
(16, 44)
(27, 1)
(42, 36)
(33, 25)
(24, 39)
(29, 30)
(28, 10)
(5, 11)
(34, 30)
(31, 15)
(5, 24)
(22, 48)
(45, 38)
(44, 50)
(5, 21)
(5, 34)
(42, 31)
(27, 27)
(26, 1)
(42, 42)
(22, 12)
(37, 44)
(27, 12)
(9, 9)
(25, 44)
(24, 36)
(13, 38)
(5, 14)
(28, 15)
(34, 3)
(47, 50)
(30, 30)
(52, 47)
(37, 3)
(42, 5)
(5, 37)
(42, 16)
(8, 9)
(15, 43)
(39, 30)
(47, 6)
(19, 44)
(23, 12)
(38, 44)
(30, 4)
(28, 12)
(52, 49)
(26, 44)
(42, 11)
(22, 45)
(21, 27)
(42, 6)
(48, 2)
(42, 21)
(7, 37)
(28, 27)
(42, 32)
(32, 3)
(33, 29)
(24, 43)
(28, 6)
(10, 9)
(15, 46)
(20, 44)
(35, 3)
(39, 44)
(5, 17)
(11, 9)
(27, 44)
(42, 12)
(22, 46)
(38, 3)
(43, 1)
(42, 27)
(2, 24)
(42, 22)
(42, 37)
(33, 24)
(24, 40)
(5, 10)
(28, 11)
(30, 15)
(29, 29)
(15, 45)
(22, 49)
(46, 50)
(35, 30)
(40, 30)
(5, 20)
(19, 12)
(45, 50)
(24, 12)
(15, 9)
(13, 9)
(5, 33)
(28, 44)
(42, 28)
(41, 44)
(45, 1)
(10, 37)
(42, 43)
(42, 38)
(33, 27)
(24, 37)
(5, 13)
(28, 8)
(22, 50)
(30, 31)
(36, 3)
(31, 30)
(14, 9)
(12, 9)
(36, 30)
(43, 6)
(19, 11)
(5, 23)
(39, 3)
(4, 33)
(20, 12)
(35, 44)
(44, 1)
(33, 44)
(42, 17)
(22, 27)
(5, 36)
(42, 44)
(15, 42)
(14, 38)
(15, 39)
(29, 3)
(28, 13)
(4, 24)
(43, 50)
(52, 50)
(52, 45)
(42, 8)
(42, 7)
(44, 6)
(42, 18)
(36, 44)
(34, 44)
(17, 44)
(24, 44)
(42, 33)
(33, 28)
(15, 41)
(28, 7)
(23, 1)
(5, 16)
(42, 13)
(41, 3)
(22, 47)
(42, 24)
(42, 23)
(32, 30)
(23, 27)
(27, 3)
(43, 38)
(42, 34)
(15, 44)
(24, 41)
(5, 9)
(28, 4)
(29, 28)
(18, 44)
(30, 3)
(31, 26)
(46, 38)
(5, 19)
(42, 14)
(41, 30)
(25, 27)
(9, 37)
(42, 29)
(11, 38)
(42, 40)
(42, 39)
(33, 26)
(24, 38)
(5, 12)
(28, 9)
(44, 38)
(31, 25)
(5, 22)
(19, 10)
(42, 3)
(8, 37)
(6, 37)
(5, 35)
(37, 30)
(1, 24)
(42, 30)
(11, 37)
(12, 38)
(28, 3)
(15, 38)
(5, 15)
(28, 14)
(31, 3)
(21, 44)
(39, 43)
(29, 15)
(52, 46)
(42, 9)
(7, 9)
(30, 25)
(30, 44)
(19, 9)
(26, 27)
(42, 4)
(17, 9)
(40, 44)
(42, 19)
(38, 30)
(46, 6)
(45, 6)
(15, 40)
(21, 50)
(52, 48)
###################
This is the network for battery (49, 23).
End capacity: 1.4887303499996918
Cable count: 234
--------------------

Cable Coordinates: 
(49, 37)
(31, 6)
(30, 26)
(21, 47)
(36, 6)
(17, 7)
(24, 17)
(30, 41)
(19, 4)
(28, 41)
(26, 28)
(50, 49)
(22, 19)
(27, 17)
(15, 50)
(24, 42)
(38, 37)
(30, 13)
(28, 5)
(37, 35)
(16, 50)
(15, 47)
(48, 37)
(26, 32)
(49, 32)
(30, 23)
(47, 38)
(26, 17)
(17, 23)
(15, 49)
(29, 17)
(19, 50)
(36, 39)
(49, 28)
(30, 14)
(29, 30)
(9, 3)
(30, 29)
(49, 35)
(47, 40)
(30, 16)
(53, 43)
(10, 23)
(47, 37)
(22, 42)
(29, 37)
(27, 22)
(13, 23)
(28, 17)
(36, 41)
(49, 31)
(30, 11)
(38, 35)
(51, 44)
(25, 33)
(30, 30)
(21, 43)
(53, 49)
(19, 23)
(48, 50)
(28, 37)
(53, 46)
(17, 8)
(9, 45)
(22, 23)
(30, 32)
(25, 5)
(31, 37)
(28, 22)
(32, 6)
(49, 26)
(30, 4)
(21, 49)
(19, 33)
(24, 33)
(10, 3)
(49, 36)
(30, 27)
(21, 46)
(52, 44)
(17, 6)
(15, 23)
(14, 5)
(37, 6)
(28, 42)
(18, 5)
(26, 29)
(24, 5)
(21, 50)
(17, 11)
(22, 16)
(21, 5)
(27, 5)
(15, 46)
(25, 42)
(39, 35)
(17, 50)
(13, 44)
(11, 4)
(26, 33)
(30, 20)
(21, 33)
(16, 23)
(26, 30)
(20, 5)
(34, 37)
(15, 48)
(18, 32)
(42, 37)
(23, 5)
(30, 15)
(37, 37)
(15, 45)
(8, 3)
(30, 2)
(20, 33)
(45, 37)
(11, 3)
(9, 23)
(49, 34)
(30, 17)
(12, 4)
(53, 42)
(23, 33)
(30, 36)
(12, 23)
(36, 37)
(49, 30)
(30, 8)
(44, 37)
(39, 37)
(30, 31)
(21, 42)
(53, 48)
(22, 33)
(30, 18)
(28, 38)
(53, 45)
(9, 44)
(22, 20)
(30, 33)
(23, 17)
(22, 14)
(29, 22)
(33, 6)
(49, 25)
(30, 5)
(21, 48)
(14, 23)
(30, 24)
(21, 45)
(17, 5)
(9, 47)
(17, 10)
(22, 17)
(30, 34)
(21, 23)
(10, 44)
(14, 44)
(49, 23)
(20, 50)
(30, 6)
(34, 6)
(16, 5)
(46, 37)
(30, 21)
(13, 5)
(19, 5)
(28, 40)
(33, 37)
(26, 31)
(22, 18)
(27, 30)
(41, 37)
(11, 44)
(18, 33)
(15, 44)
(30, 12)
(30, 3)
(49, 33)
(30, 22)
(12, 5)
(53, 41)
(27, 42)
(11, 23)
(32, 37)
(47, 39)
(30, 37)
(15, 5)
(40, 37)
